WARNING 2026-06-20 12:31:34,350 basehttp 4324 24504 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:31:34,350 basehttp 4324 19892 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:31:34,687 log 4324 28196 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 12:31:34,688 log 4324 28140 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:31:34,690 basehttp 4324 28196 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:31:34,689 log 4324 20772 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:31:34,690 basehttp 4324 28140 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:31:34,691 basehttp 4324 20772 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 12:31:34,725 log 4324 25516 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:31:34,726 basehttp 4324 25516 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:31:35,002 log 4324 24832 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:31:35,003 basehttp 4324 24832 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:31:35,017 log 4324 21688 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:31:35,018 log 4324 23256 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 12:31:35,019 log 4324 23200 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:31:35,020 basehttp 4324 21688 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 12:31:35,020 basehttp 4324 23256 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:31:35,021 basehttp 4324 23200 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:35:53,448 log 23076 26008 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:35:53,451 basehttp 23076 26008 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:35:53,452 log 23076 10304 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:35:53,453 basehttp 23076 10304 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:36:08,404 log 23076 26208 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:36:08,405 basehttp 23076 26208 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:36:08,710 log 23076 23748 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:36:08,711 basehttp 23076 23748 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:36:11,756 log 24008 28016 Forbidden: /api/kardex/
WARNING 2026-06-20 12:36:12,465 log 24008 28016 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 12:36:12,467 log 24008 28016 Forbidden: /api/productos/importar/
WARNING 2026-06-20 12:36:12,803 log 23076 23168 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:36:12,804 log 23076 22700 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:36:12,805 basehttp 23076 23168 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:36:12,805 basehttp 23076 22700 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:36:13,139 log 23076 27772 Not Found: /media/productos/Arroz_9GQbrr3.png
